Date,Open*,High,Low,Close,Volume,Market Cap
3-Dec-16,0.006712,0.00689,0.006588,0.006588,1213480.00 ,241552992.00 
4-Dec-16,0.006592,0.006595,0.006519,0.006527,1167110.00 ,237240992.00 
5-Dec-16,0.006525,0.006761,0.006419,0.006434,867666.00 ,234832000.00 
6-Dec-16,0.006435,0.006655,0.006417,0.006655,1396500.00 ,231584992.00 
7-Dec-16,0.006653,0.006851,0.006565,0.006851,2805260.00 ,239432000.00 
8-Dec-16,0.006849,0.007156,0.006829,0.007097,2789540.00 ,246468992.00 
9-Dec-16,0.007091,0.007162,0.007007,0.007135,2421860.00 ,255230000.00 
10-Dec-16,0.007138,0.007145,0.006816,0.006816,1297860.00 ,256936000.00 
11-Dec-16,0.006816,0.006998,0.006731,0.006744,978511.00 ,245332000.00 
12-Dec-16,0.006744,0.006809,0.006743,0.006778,1449640.00 ,242743008.00 
13-Dec-16,0.00678,0.006781,0.006678,0.006708,1946660.00 ,244047008.00 
14-Dec-16,0.006704,0.006753,0.00669,0.006705,2002770.00 ,241323008.00 
15-Dec-16,0.006699,0.006699,0.006606,0.006662,1050570.00 ,241138000.00 
16-Dec-16,0.006662,0.006791,0.006661,0.00671,2575390.00 ,238467008.00 
17-Dec-16,0.006704,0.006711,0.006535,0.006541,1838990.00 ,239970000.00 
18-Dec-16,0.006541,0.00658,0.006533,0.006574,1194400.00 ,234124992.00 
19-Dec-16,0.006582,0.006582,0.006534,0.006545,1109670.00 ,235600992.00 
20-Dec-16,0.00654,0.006543,0.006481,0.0065,2284690.00 ,234114000.00 
21-Dec-16,0.006498,0.006498,0.006417,0.006445,2300840.00 ,232608992.00 
22-Dec-16,0.006452,0.006466,0.006324,0.006363,2897110.00 ,230932992.00 
23-Dec-16,0.006362,0.006436,0.006281,0.006286,3514540.00 ,229051008.00 
24-Dec-16,0.006275,0.006371,0.006234,0.006349,2495670.00 ,225932992.00 
25-Dec-16,0.00635,0.006453,0.006334,0.006444,2188780.00 ,228638000.00 
26-Dec-16,0.006443,0.006481,0.006323,0.006326,1640840.00 ,231980000.00 
27-Dec-16,0.006326,0.006326,0.006188,0.006199,2471000.00 ,227764000.00 
28-Dec-16,0.006193,0.006336,0.006126,0.006173,2064130.00 ,222956992.00 
29-Dec-16,0.00618,0.006354,0.006167,0.006341,1345050.00 ,222516992.00 
30-Dec-16,0.006352,0.006455,0.006338,0.006426,1379470.00 ,230796992.00 
31-Dec-16,0.006417,0.006538,0.006387,0.006449,272884.00 ,233184992.00 
1-Jan-17,0.006523,0.006702,0.006334,0.006368,418978.00 ,237032000.00 
2-Jan-17,0.006386,0.006437,0.006281,0.006311,1046250.00 ,232067008.00 
3-Jan-17,0.00629,0.006392,0.006278,0.006386,1014830.00 ,228578000.00 
4-Jan-17,0.006385,0.006656,0.006385,0.00657,1642730.00 ,232030000.00 
5-Jan-17,0.006572,0.00658,0.006031,0.006201,4058170.00 ,238808000.00 
6-Jan-17,0.006197,0.006394,0.006109,0.006315,1746150.00 ,225184000.00 
7-Jan-17,0.006351,0.006404,0.006133,0.006366,1351030.00 ,230770000.00 
8-Jan-17,0.006383,0.006383,0.006232,0.006233,554133.00 ,231946000.00 
9-Jan-17,0.006239,0.006294,0.006127,0.006167,702255.00 ,226700000.00 
10-Jan-17,0.006157,0.006815,0.006148,0.006698,2510530.00 ,223720000.00 
11-Jan-17,0.006708,0.006721,0.006312,0.006411,3436270.00 ,243760992.00 
12-Jan-17,0.006417,0.006851,0.006351,0.006423,5013190.00 ,233170000.00 
13-Jan-17,0.006434,0.006664,0.006396,0.006596,2059340.00 ,236592000.00 
14-Jan-17,0.00661,0.006872,0.006585,0.006863,1307810.00 ,243056000.00 
15-Jan-17,0.006867,0.006925,0.006726,0.006726,780822.00 ,252519008.00 
16-Jan-17,0.006747,0.006836,0.006717,0.006788,699284.00 ,248106000.00 
17-Jan-17,0.006772,0.006848,0.006612,0.0068,1842150.00 ,249018000.00 
18-Jan-17,0.00679,0.007125,0.006659,0.006709,1342730.00 ,249667008.00 
19-Jan-17,0.006713,0.00704,0.006671,0.007034,760684.00 ,246854000.00 
20-Jan-17,0.007032,0.00716,0.00661,0.006675,620052.00 ,259186000.00 
21-Jan-17,0.006694,0.006824,0.006678,0.006706,553724.00 ,246708992.00 
22-Jan-17,0.006706,0.006759,0.006653,0.006713,362422.00 ,247164992.00 
23-Jan-17,0.006718,0.006735,0.006662,0.006697,309838.00 ,247604000.00 
24-Jan-17,0.006708,0.006718,0.006534,0.00654,509262.00 ,247242000.00 
25-Jan-17,0.006527,0.006594,0.00649,0.006513,522497.00 ,240564992.00 
26-Jan-17,0.006511,0.007073,0.006425,0.00669,1446950.00 ,239951008.00 
27-Jan-17,0.006686,0.006815,0.006331,0.006415,924745.00 ,246404000.00 
28-Jan-17,0.006409,0.006419,0.006323,0.006342,241491.00 ,236216000.00 
29-Jan-17,0.006356,0.006493,0.006287,0.006402,325176.00 ,234254000.00 
30-Jan-17,0.006402,0.006468,0.006353,0.006381,391822.00 ,235960992.00 
31-Jan-17,0.00639,0.006411,0.006297,0.006314,661444.00 ,235508000.00 
1-Feb-17,0.006311,0.006642,0.006249,0.00654,1836820.00 ,232608992.00 
2-Feb-17,0.00654,0.00663,0.006381,0.006469,670888.00 ,241026000.00 
3-Feb-17,0.006466,0.00651,0.006401,0.006474,548263.00 ,238302000.00 
4-Feb-17,0.006487,0.006528,0.006429,0.006492,314187.00 ,239094000.00 
5-Feb-17,0.006494,0.006563,0.006403,0.006442,367001.00 ,239336992.00 
6-Feb-17,0.006439,0.006494,0.006397,0.00645,386766.00 ,237318000.00 
7-Feb-17,0.006437,0.006509,0.006378,0.006407,945440.00 ,237240000.00 
8-Feb-17,0.006407,0.007833,0.006402,0.006438,860217.00 ,236123008.00 
9-Feb-17,0.006433,0.006484,0.006193,0.006374,1700680.00 ,237091008.00 
10-Feb-17,0.006367,0.0067,0.006192,0.006289,808768.00 ,235872992.00 
11-Feb-17,0.00629,0.006395,0.006273,0.006333,334607.00 ,232996000.00 
12-Feb-17,0.006328,0.006364,0.006269,0.006269,230479.00 ,234436000.00 
13-Feb-17,0.006267,0.006338,0.006228,0.006251,462843.00 ,232160992.00 
14-Feb-17,0.00624,0.006352,0.00624,0.006278,671150.00 ,231160992.00 
15-Feb-17,0.006279,0.006302,0.006095,0.006147,813299.00 ,232611008.00 
16-Feb-17,0.006138,0.006244,0.005988,0.006027,1355840.00 ,227363008.00 
17-Feb-17,0.005939,0.006095,0.005872,0.005935,1160600.00 ,220014000.00 
18-Feb-17,0.005949,0.006014,0.005427,0.005569,1866850.00 ,220370000.00 
19-Feb-17,0.005589,0.005892,0.00557,0.005878,896856.00 ,207032992.00 
